FechaObservacion,ValorObservado
2006-10-10 09:00:00,60.0
2006-10-11 00:00:00,78.0
2006-10-18 14:00:00,69.0
2006-10-19 00:00:00,79.0
2006-10-20 00:00:00,83.0
2006-10-21 00:00:00,85.0
2006-10-22 00:00:00,82.0
2006-10-23 00:00:00,82.0
2006-10-24 00:00:00,88.0
2006-10-25 19:00:00,82.0
2006-10-26 01:00:00,80.0
2006-10-27 00:00:00,81.0
2006-10-28 00:00:00,86.0
2006-10-29 00:00:00,83.0
2006-10-30 00:00:00,86.0
2006-10-31 00:00:00,81.0
2006-11-01 00:00:00,89.0
2006-11-02 00:00:00,84.0
2006-11-03 00:00:00,81.0
2006-11-04 00:00:00,80.0
2006-11-05 09:00:00,77.0
2006-11-06 00:00:00,84.0
2006-11-07 00:00:00,88.0
2006-11-08 00:00:00,87.0
2006-11-09 00:00:00,86.0
2006-11-10 00:00:00,85.0
2006-11-11 00:00:00,83.0
2006-11-12 00:00:00,81.0
2006-11-13 00:00:00,80.0
2006-11-14 00:00:00,78.0
2006-11-15 00:00:00,87.0
2006-11-16 00:00:00,87.0
2006-11-17 00:00:00,92.0
2006-11-18 00:00:00,86.0
2006-11-26 19:00:00,84.0
2006-11-27 00:00:00,83.0
2006-11-28 00:00:00,85.0
2006-11-29 00:00:00,87.0
2006-11-30 00:00:00,81.0
2006-12-01 00:00:00,72.0
2006-12-02 00:00:00,78.0
2006-12-03 00:00:00,74.0
2006-12-04 00:00:00,77.0
2006-12-05 00:00:00,78.0
2006-12-06 00:00:00,81.0
2006-12-09 14:00:00,77.0
2006-12-10 00:00:00,84.0
2006-12-11 00:00:00,78.0
2006-12-12 00:00:00,89.0
2006-12-13 00:00:00,87.0
2006-12-14 00:00:00,80.0
2006-12-15 00:00:00,81.0
2006-12-16 00:00:00,85.0
2006-12-17 00:00:00,82.0
2006-12-18 00:00:00,79.0
2006-12-19 00:00:00,84.0
2006-12-20 00:00:00,85.0
2006-12-21 00:00:00,88.0
2006-12-22 00:00:00,83.0
2006-12-23 00:00:00,77.0
2006-12-24 00:00:00,78.0
2006-12-25 00:00:00,71.0
2006-12-26 00:00:00,76.0
2006-12-27 00:00:00,86.0
2006-12-28 00:00:00,84.0
2006-12-29 00:00:00,73.0
2006-12-30 00:00:00,76.0
2006-12-31 00:00:00,80.0
2007-01-01 00:00:00,78.0
2007-01-02 00:00:00,73.0
2007-01-03 00:00:00,70.0
2007-01-04 00:00:00,72.0
2007-01-05 00:00:00,75.0
2007-01-06 00:00:00,79.0
