FechaObservacion;ValorObservado
10/10/2006 9:00;60.0
11/10/2006 0:00;78.0
18/10/2006 14:00;69.0
19/10/2006 0:00;79.0
20/10/2006 0:00;83.0
21/10/2006 0:00;85.0
22/10/2006 0:00;82.0
23/10/2006 0:00;82.0
24/10/2006 0:00;88.0
25/10/2006 19:00;82.0
26/10/2006 1:00;80.0
27/10/2006 0:00;81.0
28/10/2006 0:00;86.0
29/10/2006 0:00;83.0
30/10/2006 0:00;86.0
31/10/2006 0:00;81.0
1/11/2006 0:00;89.0
2/11/2006 0:00;84.0
3/11/2006 0:00;81.0
4/11/2006 0:00;80.0
5/11/2006 9:00;77.0
6/11/2006 0:00;84.0
7/11/2006 0:00;88.0
8/11/2006 0:00;87.0
9/11/2006 0:00;86.0
10/11/2006 0:00;85.0
11/11/2006 0:00;83.0
12/11/2006 0:00;81.0
13/11/2006 0:00;80.0
14/11/2006 0:00;78.0
15/11/2006 0:00;87.0
16/11/2006 0:00;87.0
17/11/2006 0:00;92.0
18/11/2006 0:00;86.0
26/11/2006 19:00;84.0
27/11/2006 0:00;83.0
28/11/2006 0:00;85.0
29/11/2006 0:00;87.0
30/11/2006 0:00;81.0
1/12/2006 0:00;72.0
2/12/2006 0:00;78.0
3/12/2006 0:00;74.0
4/12/2006 0:00;77.0
5/12/2006 0:00;78.0
6/12/2006 0:00;81.0
9/12/2006 14:00;77.0
10/12/2006 0:00;84.0
11/12/2006 0:00;78.0
12/12/2006 0:00;89.0
13/12/2006 0:00;87.0
14/12/2006 0:00;80.0
15/12/2006 0:00;81.0
16/12/2006 0:00;85.0
17/12/2006 0:00;82.0
18/12/2006 0:00;79.0
19/12/2006 0:00;84.0
20/12/2006 0:00;85.0
21/12/2006 0:00;88.0
22/12/2006 0:00;83.0
23/12/2006 0:00;77.0
24/12/2006 0:00;78.0
25/12/2006 0:00;71.0
26/12/2006 0:00;76.0
27/12/2006 0:00;86.0
28/12/2006 0:00;84.0
29/12/2006 0:00;73.0
30/12/2006 0:00;76.0
31/12/2006 0:00;80.0
